BOOKING_TS,LEDGER_ACCT,AMT,DR_CR,VALUE_DT,PRODUCT,RAIL,CPTY_BIC,REF
2025-02-03 07:03:08,LGR-CB_EUR_ECB,187180.08887419986,C,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB30
2025-02-03 07:03:12,LGR-AGT_USD_JPM,741030.8401657159,C,2025-02-03,SWEEP,ACH,CPTYXXXX,HUB31
2025-02-03 07:03:18,LGR-CB_EUR_ECB,1135741.024121825,D,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB32
2025-02-03 07:03:20,LGR-NOS_GBP_HSBC,244809.62181380464,C,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB33
2025-02-03 07:03:24,LGR-AGT_GBP_BARC,223366.78979340728,D,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB34
2025-02-03 07:03:28,LGR-NOS_GBP_HSBC,27966.13990202164,D,2025-02-03,SWEEP,ACH,CPTYXXXX,HUB35
2025-02-03 07:03:33,LGR-NOS_USD_CITI,71637.57383332064,C,2025-02-03,ACH,ACH,CPTYXXXX,HUB36
2025-02-03 07:03:39,LGR-AGT_USD_JPM,3039641.9521904094,C,2025-02-03,FX_SETTLE,ACH,CPTYXXXX,HUB37
2025-02-03 07:03:39,LGR-NOS_GBP_HSBC,44754.33432698417,C,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB38
2025-02-03 07:03:44,LGR-CB_EUR_ECB,866520.9147472663,D,2025-02-03,FX_SETTLE,ACH,CPTYXXXX,HUB39
2025-02-03 07:03:56,LGR-CB_EUR_ECB,283949.6552225646,D,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB40
2025-02-03 07:04:01,LGR-CB_USD_FED,1119785.527407296,C,2025-02-03,FX_SETTLE,ACH,CPTYXXXX,HUB41
2025-02-03 07:04:14,LGR-CB_USD_FED,125713.47163332519,D,2025-02-03,ACH,ACH,CPTYXXXX,HUB42
2025-02-03 07:04:15,LGR-AGT_GBP_BARC,119643.5510314573,D,2025-02-03,FX_SETTLE,ACH,CPTYXXXX,HUB43
2025-02-03 07:04:36,LGR-CB_EUR_ECB,1764184.099907311,C,2025-02-03,ACH,ACH,CPTYXXXX,HUB44
2025-02-03 07:04:39,LGR-CB_EUR_ECB,1521306.094587289,D,2025-02-03,FX_SETTLE,ACH,CPTYXXXX,HUB45
2025-02-03 07:04:44,LGR-CB_USD_FED,19901233.568198178,D,2025-02-03,ACH,ACH,CPTYXXXX,HUB46
2025-02-03 07:04:48,LGR-AGT_USD_JPM,353873.9412361594,D,2025-02-03,ACH,ACH,CPTYXXXX,HUB47
2025-02-03 07:05:12,LGR-NOS_GBP_HSBC,37658.93485827296,D,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB48
